by	ADPcaseNOUN	system	18
a	DETdetNOUN	system	18
phrase	NOUNcompoundVERB	base	18
phrase	NOUNinCOMPOUND	phrase base	18
base	VERBinCOMPOUND	phrase base	18
18	ABOUT	phrase base	18
-	PUNCTpunctVERB	base	18
base	VERBamodNOUN	system	18
produce	VERBrev_oblNOUN	system	18
18	ABOUT	system	18
.	PUNCTpunctVERB	use	18
mechanism	NOUNrev_nsubjNOUN	grave	19
19	ABOUT	grave	19
a	DETdetNOUN	mechanism	19
novel	NOUNcompoundNOUN	mechanism	19
novel	NOUNinCOMPOUND	novel mechanism	19
mechanism	NOUNinCOMPOUND	novel mechanism	19
19	ABOUT	novel mechanism	19
differentiable	ADJamodNOUN	mechanism	19
attention	NOUNcompoundNOUN	mechanism	19
attention	NOUNinCOMPOUND	attention mechanism	19
mechanism	NOUNinCOMPOUND	attention mechanism	19
19	ABOUT	attention mechanism	19
mechanism	NOUN_PREDICATE_OF	19	19
that	PRONnsubjVERB	allow	19
allow	VERBacl:relclNOUN	mechanism	19
neural	ADJamodNOUN	network	19
allow	VERBrev_objNOUN	network	19
19	ABOUT	network	19
to	PARTmarkVERB	focus	19
focus	VERBxcompVERB	allow	19
on	ADPcaseNOUN	part	19
different	ADJamodNOUN	part	19
focus	VERBrev_oblNOUN	part	19
19	ABOUT	part	19
of	ADPcaseNOUN	input	19
they	PRONnmod:possNOUN	input	19
input	NOUNnmodNOUN	part	19
,	PUNCTpunctVERB	apply	19
and	CCONJccVERB	apply	19
a	DETdetNOUN	variant	19
elegant	ADJamodNOUN	variant	19
apply	VERBrev_nsubj:passNOUN	variant	19
19	ABOUT	variant	19
of	ADPcaseNOUN	idea	19
this	DETdetNOUN	idea	19
idea	NOUNnmodNOUN	variant	19
be	AUXaux:passVERB	apply	19
successfully	ADVadvmodVERB	apply	19
apply	VERBconjNOUN	mechanism	19
to	ADPoblVERB	apply	19
by	ADPcasePROPN	Bahdanau	19
Bahdanau	PROPNoblVERB	apply	19
et	PROPNflatPROPN	Bahdanau	19
et	PROPNinCOMPOUND	et Bahdanau	19
Bahdanau	PROPNinCOMPOUND	et Bahdanau	19
19	ABOUT	et Bahdanau	19
al	PROPNflatPROPN	Bahdanau	19
al	PROPNinCOMPOUND	al Bahdanau	19
Bahdanau	PROPNinCOMPOUND	al Bahdanau	19
19	ABOUT	al Bahdanau	19
.	PUNCTpunctNOUN	grave	19
[	PUNCTpunctX	2	20
2	X_PREDICATE_OF	20	20
]	PUNCTpunctX	2	20
.	PUNCTpunctX	2	20
the	DETdetNOUN	classification	21
connectionist	NOUNcompoundNOUN	sequence	21
connectionist	NOUNinCOMPOUND	connectionist sequence	21
sequence	NOUNinCOMPOUND	connectionist sequence	21
21	ABOUT	connectionist sequence	21
sequence	NOUNcompoundNOUN	classification	21
sequence	NOUNinCOMPOUND	sequence classification	21
classification	NOUNinCOMPOUND	sequence classification	21
21	ABOUT	sequence classification	21
another	DETrev_nsubjNOUN	classification	21
21	ABOUT	classification	21
be	AUXcopDET	another	21
another	DET_PREDICATE_OF	21	21
for	ADPcaseNOUN	sequence	21
mapping	NOUNcompoundNOUN	sequence	21
mapping	NOUNinCOMPOUND	mapping sequence	21
sequence	NOUNinCOMPOUND	mapping sequence	21
21	ABOUT	mapping sequence	21
sequence	NOUNnmodDET	another	21
to	ADPcaseNOUN	sequence	21
sequence	NOUNnmodNOUN	sequence	21
with	ADPcaseNOUN	network	21
neural	ADJamodNOUN	network	21
network	NOUNnmodNOUN	sequence	21
,	PUNCTpunctVERB	assume	21
but	CCONJccVERB	assume	21
it	PRONnsubjVERB	assume	21
assume	VERBconjDET	another	21
a	DETdetNOUN	input	21
between	ADPcaseNOUN	input	21
the	DETdetNOUN	input	21
assume	VERBrev_oblNOUN	input	21
21	ABOUT	input	21
and	CCONJccNOUN	output	21
the	DETdetNOUN	output	21
output	NOUNconjNOUN	input	21
[	PUNCTpunctNUM	11	21
11	NUMapposNOUN	output	21
]	PUNCTpunctNUM	11	21
.	PUNCTpunctDET	another	21
figure	VERB_PREDICATE_OF	22	22
1	XnummodVERB	read	23
:	PUNCTpunctX	1	23
we	PRONnmod:possNOUN	model	23
read	VERBrev_nsubjNOUN	model	23
23	ABOUT	model	23
read	VERB_PREDICATE_OF	23	23
a	DETdetNOUN	sentence	23
input	NOUNcompoundNOUN	sentence	23
input	NOUNinCOMPOUND	input sentence	23
sentence	NOUNinCOMPOUND	input sentence	23
23	ABOUT	input sentence	23
read	VERBrev_objNOUN	sentence	23
23	ABOUT	sentence	23
""""	PUNCTpunctPROPN	ABC	23
ABC	PROPNapposNOUN	sentence	23
""""	PUNCTpunctPROPN	ABC	23
and	CCONJccVERB	produce	23
produce	VERBconjVERB	read	23
""""	PUNCTpunctPROPN	WXYZ	23
WXYZ	PROPNobjVERB	produce	23
""""	PUNCTpunctPROPN	WXYZ	23
as	ADPcaseNOUN	sentence	23
the	DETdetNOUN	sentence	23
output	NOUNcompoundNOUN	sentence	23
output	NOUNinCOMPOUND	output sentence	23
sentence	NOUNinCOMPOUND	output sentence	23
23	ABOUT	output sentence	23
produce	VERBrev_oblNOUN	sentence	23
23	ABOUT	sentence	23
.	PUNCTpunctVERB	read	23
stop	VERB_PREDICATE_OF	24	24
make	VERBxcompVERB	stop	24
make	VERBrev_objNOUN	prediction	24
24	ABOUT	prediction	24
after	SCONJmarkVERB	output	24
output	VERBadvclVERB	make	24
the	DETdetNOUN	token	24
end	NOUNcompoundNOUN	token	24
end	NOUNinCOMPOUND	end token	24
token	NOUNinCOMPOUND	end token	24
24	ABOUT	end token	24
-	PUNCTpunctNOUN	end	24
of	ADPcaseNOUN	sentence	24
-	PUNCTpunctNOUN	sentence	24
sentence	NOUNnmodNOUN	end	24
output	VERBrev_objNOUN	token	24
24	ABOUT	token	24
.	PUNCTpunctVERB	stop	24
note	VERB_PREDICATE_OF	25	25
that	SCONJmarkVERB	read	25
the	DETdetPROPN	LSTM	25
LSTM	PROPNnsubjVERB	read	25
read	VERBccompVERB	note	25
read	VERBrev_objNOUN	sentence	25
25	ABOUT	sentence	25
in	ADPcaseNOUN	reverse	25
read	VERBrev_oblNOUN	reverse	25
25	ABOUT	reverse	25
,	PUNCTpunctVERB	read	25
because	SCONJmarkVERB	do	25
do	VERBadvclVERB	read	25
so	ADVadvmodVERB	introduce	25
introduce	VERBparataxisVERB	note	25
many	ADJamodNOUN	dependency	25
short	ADJamodNOUN	term	25
term	NOUNcompoundNOUN	dependency	25
term	NOUNinCOMPOUND	term dependency	25
dependency	NOUNinCOMPOUND	term dependency	25
25	ABOUT	term dependency	25
introduce	VERBrev_objNOUN	dependency	25
25	ABOUT	dependency	25
